RecordId,RecordType,Status,Parent,Reference,AccessCondition,Administrative Context,Arrangement,Copies Information,Custodial History,Date Range,Decimal Latitude,Decimal Longitude,Description Language,Description Language Code,Description Script,Description Script Code,End Date,Extent & Format,External Ref,Imm Source Acq,Legal Status,Level of Detail,Languages,Language Codes,Scripts,Script Codes,Material Type,MDARK,Note,ObjectURL,OrigInfo,Physical Characteristics,Project Collection,Publication Note,Related Material,Scope & Content,Sibling Order,Start Date,Title,User Conditions,Creators,Related Names,Related Places,Related Subjects,Related Archive Descriptions,,,Logical label
040-002360567,File,Published,036-002360461,EAP310/1/1/106,Unrestricted,,,,,1650-1950,,,English,eng,Latin,Latn,1950,1 folder containing 465 TIFF images; 10.7GB,,,Not Public Record(s),Minimum (Archive Desc),Tibetan,tib,Tibetan,Tibt,Archives and Manuscripts,ark:/81055/vdc_100000000926.0x00023d,,http://eap.bl.uk/database/overview_item.a4d?catId=19483;r=16948,,,"The digital documentation of manuscripts in Thadrak, Tshamdrak and Neyphug Temples",,,"The volume contains the Perfection of Wisdom in 20,000 verses. The volume is written on cream coloured traditional Bhutanese paper made from dahpne bark. It is written in black ink. The text is wrapped in several layers of cloth and bound between two think wood covers. The leaves are roughly 62x11.5cm. The first folios of the kanjur series have a deep blue background in the text box, most likely painted using malachite. Letters are written in gold ink. The text starts on the verso of the first folio which also has a silk cover. 1 volume containing 465 folios of manuscripts on paper in loose leaf poti format.Dates of original material: probably 18th centuryVolume: GaScript(s) of material: Tibetan dBu can script.",106,1650,Nyi khri Ga,,,,"Bhutan, Asia, Unspecified",,,,,
040-002360568,File,Published,036-002360461,EAP310/1/1/107,Unrestricted,,,,,1650-1950,,,English,eng,Latin,Latn,1950,1 folder containing 458 TIFF images; 10.5GB,,,Not Public Record(s),Minimum (Archive Desc),Tibetan,tib,Tibetan,Tibt,Archives and Manuscripts,ark:/81055/vdc_100000000926.0x00023e,,http://eap.bl.uk/database/overview_item.a4d?catId=19484;r=16357,,,"The digital documentation of manuscripts in Thadrak, Tshamdrak and Neyphug Temples",,,"The volume contains the Perfection of Wisdom in 20,000 verses. The volume is written on cream coloured traditional Bhutanese paper made from dahpne bark. It is written in black ink. The text is wrapped in several layers of cloth and bound between two think wood covers. The leaves are roughly 62x11.5cm. The first folios of the kanjur series have a deep blue background in the text box, most likely painted using malachite. Letters are written in gold ink. The text starts on the verso of the first folio which also has a silk cover. 1 volume containing 458 folios of manuscripts on paper in loose leaf poti format.Dates of original material: probably 18th centuryVolume: NgaScript(s) of material: Tibetan dBu can script.",107,1650,Nyi khri Nga,,,,"Bhutan, Asia, Unspecified",,,,,
040-002360569,File,Published,036-002360461,EAP310/1/1/108,Unrestricted,,,,,1650-1950,,,English,eng,Latin,Latn,1950,1 folder containing 419 TIFF images; 9.65GB,,,Not Public Record(s),Minimum (Archive Desc),Tibetan,tib,Tibetan,Tibt,Archives and Manuscripts,ark:/81055/vdc_100000000926.0x00023f,,http://eap.bl.uk/database/overview_item.a4d?catId=19485;r=17075,,,"The digital documentation of manuscripts in Thadrak, Tshamdrak and Neyphug Temples",,,"The volume contains the Perfection of Wisdom in 8,000 verses. The volume is written on cream coloured traditional Bhutanese paper made from dahpne bark. It is written in black ink. The text is wrapped in several layers of cloth and bound between two think wood covers. The leaves are roughly 62x11.5cm. The first folios of the kanjur series have a deep blue background in the text box, most likely painted using malachite. Letters are written in gold ink. The text starts on the verso of the first folio which also has a silk cover. 1 volume containing 419 folios of manuscripts on paper in loose leaf poti format.Dates of original material: probably 18th centuryVolume: KaScript(s) of material: Tibetan dBu can script.",108,1650,brGyad stong Ka,,,,"Bhutan, Asia, Unspecified",,,,,
040-002360472,File,Published,036-002360461,EAP310/1/1/11,Unrestricted,,,,,1650-1950,,,English,eng,Latin,Latn,1950,1 folder containing 455 TIFF images; 10.4GB,,,Not Public Record(s),Minimum (Archive Desc),Tibetan,tib,Tibetan,Tibt,Archives and Manuscripts,ark:/81055/vdc_100000000926.0x0001de,,http://eap.bl.uk/database/overview_item.a4d?catId=19388;r=14030,,,"The digital documentation of manuscripts in Thadrak, Tshamdrak and Neyphug Temples",,,"The volume contains tantric literature such as Aryavajrapaniabhisekhatantra. The volume is written on cream coloured traditional Bhutanese paper made from dahpne bark. It is written in black ink. The text is wrapped in several layers of cloth and bound between two think wood covers. The leaves are roughly 62x11.5cm. The first folios of the kanjur series have a deep blue background in the text box, most likely painted using malachite. Letters are written in gold ink. The text starts on the verso of the first folio which also has a silk cover. 1 volume of 455 folios of manuscripts on paper in loose leaf poti format.Dates of original material: probably 18th centuryVolume: DaScript(s) of material: Tibetan dBu can script.",11,1650,rGyud 'bum Da,,,,"Bhutan, Asia, Unspecified",,,,,
040-002360473,File,Published,036-002360461,EAP310/1/1/12,Unrestricted,,,,,1650-1950,,,English,eng,Latin,Latn,1950,1 folder containing 516 TIFF images; 14.6GB,,,Not Public Record(s),Minimum (Archive Desc),Tibetan,tib,Tibetan,Tibt,Archives and Manuscripts,ark:/81055/vdc_100000000926.0x0001df,,http://eap.bl.uk/database/overview_item.a4d?catId=19389;r=14298,,,"The digital documentation of manuscripts in Thadrak, Tshamdrak and Neyphug Temples",,,"The volume contains various tantric literatures such as Aryasarvatathagatadhithanaridhayaguhyadhatukarandanamadharani. The volume is written on cream coloured traditional Bhutanese paper made from dahpne bark. It is written in black ink. The text is wrapped in several layers of cloth and bound between two think wood covers. The leaves are roughly 62x11.5cm. The first folios of the kanjur series have a deep blue background in the text box, most likely painted using malachite. Letters are written in gold ink. The text starts on the verso of the first folio which also has a silk cover. 1 volume of 516 folios of manuscripts on paper in loose leaf poti format.Dates of original material: probably 18th centuryVolume: NaScript(s) of material: Tibetan dBu can script.",12,1650,rGyud 'bum Na,,,,"Bhutan, Asia, Unspecified",,,,,
040-002360474,File,Published,036-002360461,EAP310/1/1/13,Unrestricted,,,,,1650-1950,,,English,eng,Latin,Latn,1950,1 folder containing 370 TIFF images; 10.4GB,,,Not Public Record(s),Minimum (Archive Desc),Tibetan,tib,Tibetan,Tibt,Archives and Manuscripts,ark:/81055/vdc_100000000926.0x0001e0,,http://eap.bl.uk/database/overview_item.a4d?catId=19390;r=7373,,,"The digital documentation of manuscripts in Thadrak, Tshamdrak and Neyphug Temples",,,"The volume contains various tantric literatures such as Siddhekaviramahatantraraja. The volume is written on cream coloured traditional Bhutanese paper made from dahpne bark. It is written in black ink. The text is wrapped in several layers of cloth and bound between two think wood covers. The leaves are roughly 62x11.5cm. The first folios of the kanjur series have a deep blue background in the text box, most likely painted using malachite. Letters are written in gold ink. The text starts on the verso of the first folio which also has a silk cover. 1 volume of 370 folios of manuscripts on paper in loose leaf poti format.Dates of original material: probably 18th centuryVolume: PaScript(s) of material: Tibetan dBu can script.",13,1650,rGyud 'bum Pa,,,,"Bhutan, Asia, Unspecified",,,,,
040-002360475,File,Published,036-002360461,EAP310/1/1/14,Unrestricted,,,,,1650-1950,,,English,eng,Latin,Latn,1950,1 folder containing 405 TIFF images; 9.32GB,,,Not Public Record(s),Minimum (Archive Desc),Tibetan,tib,Tibetan,Tibt,Archives and Manuscripts,ark:/81055/vdc_100000000926.0x0001e1,,http://eap.bl.uk/database/overview_item.a4d?catId=19391;r=25481,,,"The digital documentation of manuscripts in Thadrak, Tshamdrak and Neyphug Temples",,,"The volume contains various tantric literatures such as Aryasuvarnaprabhasottamasutrendraraja and various dharani. The volume is written on cream coloured traditional Bhutanese paper made from dahpne bark. It is written in black ink. The text is wrapped in several layers of cloth and bound between two think wood covers. The leaves are roughly 62x11.5cm. The first folios of the kanjur series have a deep blue background in the text box, most likely painted using malachite. Letters are written in gold ink. The text starts on the verso of the first folio which also has a silk cover. 1 volume of 405 folios of manuscripts on paper in loose leaf poti format.Dates of original material: probably 18th centuryVolume: PhaScript(s) of material: Tibetan dBu can script.",14,1650,rGyud 'bum Pha,,,,"Bhutan, Asia, Unspecified",,,,,
040-002360476,File,Published,036-002360461,EAP310/1/1/15,Unrestricted,,,,,1650-1950,,,English,eng,Latin,Latn,1950,1 folder containing 435 TIFF images; 12.3GB,,,Not Public Record(s),Minimum (Archive Desc),Tibetan,tib,Tibetan,Tibt,Archives and Manuscripts,ark:/81055/vdc_100000000926.0x0001e2,,http://eap.bl.uk/database/overview_item.a4d?catId=19392;r=617,,,"The digital documentation of manuscripts in Thadrak, Tshamdrak and Neyphug Temples",,,"The volume contains various tantric literaturess such as Krodhavijyakalpaguyatantra. The volume is written on cream coloured traditional Bhutanese paper made from dahpne bark. It is written in black ink. The text is wrapped in several layers of cloth and bound between two think wood covers. The leaves are roughly 62x11.5cm. The first folios of the kanjur series have a deep blue background in the text box, most likely painted using malachite. Letters are written in gold ink. The text starts on the verso of the first folio which also has a silk cover. 1 volume of 435 folios of manuscripts on paper in loose leaf poti format.Dates of original material: probably 18th centuryVolume: BaScript(s) of material: Tibetan dBu can script.",15,1650,rGyud 'bum Ba,,,,"Bhutan, Asia, Unspecified",,,,,
040-002360477,File,Published,036-002360461,EAP310/1/1/16,Unrestricted,,,,,1650-1950,,,English,eng,Latin,Latn,1950,1 folder containing 440 TIFF images; 10.1GB,,,Not Public Record(s),Minimum (Archive Desc),Tibetan,tib,Tibetan,Tibt,Archives and Manuscripts,ark:/81055/vdc_100000000926.0x0001e3,,http://eap.bl.uk/database/overview_item.a4d?catId=19393;r=5918,,,"The digital documentation of manuscripts in Thadrak, Tshamdrak and Neyphug Temples",,,"The volume contains various tantric literatures such as Arya-amogapashakalparaja. The volume is written on cream coloured traditional Bhutanese paper made from dahpne bark. It is written in black ink. The text is wrapped in several layers of cloth and bound between two think wood covers. The leaves are roughly 62x11.5cm. The first folios of the kanjur series have a deep blue background in the text box, most likely painted using malachite. Letters are written in gold ink. The text starts on the verso of the first folio which also has a silk cover. 1 volume of 440 folios of manuscripts on paper in loose leaf poti format.Dates of original material: probably 18th centuryVolume: MaScript(s) of material: Tibetan dBu can script.",16,1650,rGyud 'bum Ma,,,,"Bhutan, Asia, Unspecified",,,,,
040-002360478,File,Published,036-002360461,EAP310/1/1/17,Unrestricted,,,,,1650-1950,,,English,eng,Latin,Latn,1950,1 folder containing 412 TIFF images; 9.48GB,,,Not Public Record(s),Minimum (Archive Desc),Tibetan,tib,Tibetan,Tibt,Archives and Manuscripts,ark:/81055/vdc_100000000926.0x0001e4,,http://eap.bl.uk/database/overview_item.a4d?catId=19394;r=26000,,,"The digital documentation of manuscripts in Thadrak, Tshamdrak and Neyphug Temples",,,"The volume contains various tantric literatures and dharani. The volume is written on cream coloured traditional Bhutanese paper made from dahpne bark. It is written in black ink. The text is wrapped in several layers of cloth and bound between two think wood covers. The leaves are roughly 62x11.5cm. The first folios of the kanjur series have a deep blue background in the text box, most likely painted using malachite. Letters are written in gold ink. The text starts on the verso of the first folio which also has a silk cover. 1 volume of 412 folios of manuscripts on paper in loose leaf poti format.Dates of original material: probably 18th centuryVolume: TsaScript(s) of material: Tibetan dBu can script.",17,1650,rGyud 'bum Tsa,,,,"Bhutan, Asia, Unspecified",,,,,
040-002360479,File,Published,036-002360461,EAP310/1/1/18,Unrestricted,,,,,1650-1950,,,English,eng,Latin,Latn,1950,1 folder containing 382 TIFF images; 10.8GB,,,Not Public Record(s),Minimum (Archive Desc),Tibetan,tib,Tibetan,Tibt,Archives and Manuscripts,ark:/81055/vdc_100000000926.0x0001e5,,http://eap.bl.uk/database/overview_item.a4d?catId=19395;r=28313,,,"The digital documentation of manuscripts in Thadrak, Tshamdrak and Neyphug Temples",,,"The volume contains various tantric literaturess such as Urdhajamahakalpamahabodhisattvavikurbanapatalavisarangbhagavatiaryataramulakalpanama The volume is written on cream coloured traditional Bhutanese paper made from dahpne bark. It is written in black ink. The text is wrapped in several layers of cloth and bound between two think wood covers. The leaves are roughly 62x11.5cm. The first folios of the kanjur series have a deep blue background in the text box, most likely painted using malachite. Letters are written in gold ink. The text starts on the verso of the first folio which also has a silk cover. 1 volume of 382 folios of manuscripts on paper in loose leaf poti format.Dates of original material: probably 18th centuryVolume: TshaScript(s) of material: Tibetan dBu can script.",18,1650,rGyud 'bum Tsha,,,,"Bhutan, Asia, Unspecified",,,,,
040-002360480,File,Published,036-002360461,EAP310/1/1/19,Unrestricted,,,,,1650-1950,,,English,eng,Latin,Latn,1950,1 folder containing 417 TIFF images; 11.8GB,,,Not Public Record(s),Minimum (Archive Desc),Tibetan,tib,Tibetan,Tibt,Archives and Manuscripts,ark:/81055/vdc_100000000926.0x0001e6,,http://eap.bl.uk/database/overview_item.a4d?catId=19396;r=26075,,,"The digital documentation of manuscripts in Thadrak, Tshamdrak and Neyphug Temples",,,"The volume contains various tantric literaturess such Aryavidyauttamamahatantra. The volume is written on cream coloured traditional Bhutanese paper made from dahpne bark. It is written in black ink. The text is wrapped in several layers of cloth and bound between two think wood covers. The leaves are roughly 62x11.5cm. The first folios of the kanjur series have a deep blue background in the text box, most likely painted using malachite. Letters are written in gold ink. The text starts on the verso of the first folio which also has a silk cover. 1 volume of 417 folios of manuscripts on paper in loose leaf poti format.Dates of original material: probably 18th centuryVolume: DzaScript(s) of material: Tibetan dBu can script.",19,1650,rGyud 'bum Dza,,,,"Bhutan, Asia, Unspecified",,,,,
040-002360463,File,Published,036-002360461,EAP310/1/1/2,Unrestricted,,,,,1650-1950,,,English,eng,Latin,Latn,1950,1 folder containing 436 TIFF images; 12.3GB,,,Not Public Record(s),Minimum (Archive Desc),Tibetan,tib,Tibetan,Tibt,Archives and Manuscripts,ark:/81055/vdc_100000000926.0x0001d5,,http://eap.bl.uk/database/overview_item.a4d?catId=19379;r=18175,,,"The digital documentation of manuscripts in Thadrak, Tshamdrak and Neyphug Temples",,,"The volume contains tantric literature such as the Vajradakatantra. The volume is written on cream coloured traditional Bhutanese paper made from dahpne bark. It is written in black ink. The text is wrapped in several layers of cloth and bound between two think wood covers. The leaves are roughly 62x11.5cm. The first folios of the kanjur series have a deep blue background in the text box, most likely painted using malachite. Letters are written in gold ink. The text starts on the verso of the first folio which also has a silk cover. 1 volume of 436 folios of manuscripts on paper in loose leaf poti format.Dates of original material: probably 18th centuryVolume: KhaScript(s) of material: Tibetan dBu can script.",2,1650,rGyud 'bum Kha,,,,"Bhutan, Asia, Unspecified",,,,,
