RecordId,Parent,Reference,Start Date,End Date,Language Codes,Script Codes,MDARK,Scope & Content,Width (cm),Height (cm),Sibling Order,Title,Newari Date,Fragmentary,rKTs Number,Topic/Related Deity,Genre,IdenticalTo
040-002851189,032-002851168,EAP676/1/21,1600,1999,san,Deva,ark:/81055/vdc_100023625596.0x000016,Kāma Shastra is a Hindu erotic literature. It discusses about  sex and sexual positions. Folios from 3 to 7 are missing in this manuscript. It has 18 folios extant and all are in very good condition. The script used is Devanagari. This text is in Sanskrit . Its size is 19.5 x 10 cm.,19.5,10,21,Kāma Śāstra,,,,T1KG89007,T2016,
040-002851190,032-002851168,EAP676/1/22,1600,1999,san,Deva,ark:/81055/vdc_100023625596.0x000017,"Literally 'Deva Vaca ' is the words of the god. It has only one folio. Words of god are listed in sixteen points suplimented by a numerical table providing 4 groups of numbers. The total sum of  numerals used in each vertical, horizontal or diagonal rows is 34. Although its subject is not clearly known from the folio, it seems a text with with sixteen steps of recitation. This manuscript is written in modern paper folios. Its size is 8.5 x 6.5 cm.",8.5,6.5,22,Deva Vācā,,,,,,
040-002851191,032-002851168,EAP676/1/23,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x000018,Tārā is a famous Buddhist deity who has both Tantric and non tantric forms. This text is the eulogy of Tārā which is recited to please her and exact boons. It has 1 folio which is incomplete. It is in Sanskrit  and written with pracalit Newārī script. Its size is 18 x 7 cm.,18,7,23,Ārya Tārā Stotra,,,K438,T619,T67,
040-002851192,032-002851168,EAP676/1/24,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x000019,This is a ritual text used by the Newar Buddhist.only one folio no 3 is extant. The paper is smeared with yellow substance. Its language is Sanskrit  and script is Sanskrit.,,,24,Tattva Jñāna Samsiddhi Vākpujā Vidhi,,,,,,
040-002851193,032-002851168,EAP676/1/25,1600,1999,new,Newa,ark:/81055/vdc_100023625596.0x00001a,This manuscript Śuka Saptatī Saptavāra Kathā Saṁgraha or the Carita Kathā is a Hindu text. It is a Hindu story written in Newārī language. Its script is Pracalit Newārī. Altogether 196 folios are extant. but in total 126 folios are missing. It was written in Nepal Samvat 874 (1763 CE). it was copied by Ja Nath KarmachĀrya. The size of the folios is 28 x 9 cm.,28,9,25,Śuka Saptatī Saptavāra Kathā Saṁgraha Caritra Kathā,,,,T1KG89007,,
040-002851171,032-002851168,EAP676/1/3,1874,1874,san,Newa,ark:/81055/vdc_100023625596.0x000004,"Newar Buddhists lay top most priority in reciting Mantras and Dhāraṇī to accumulate merit. This is one among many Dhāraṇī prevalent in the Newar society. This Dhāraṇī is recited mainly for good health and long life.It has 25 folios written in Pracalit Newārī script. Its language is Sanskrit . Although it is written in old paper, it is in very good condition. Provision for miniature is left blank.",,,3,Aprimitāyu nāma Dhāraṇī,994 NS,,K670,,T933,
040-002851172,032-002851168,EAP676/1/4,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x000005,"Vajrayana practitioners in Nepal lay higher emphasisin ritual performances. Therefore emphasize in Mantra recitation. Among nuwerous types of Mantras, Bouddha Mantra is anpther important Mantra recited in various occassions.It has 4 folios written in modern paper with red and black ink. its language is Sanskrit  and script is Pracalit Newārī.",,,4,Bouddha Mantra,,,,,,
040-002851173,032-002851168,EAP676/1/5,1857,1857,san,Deva,ark:/81055/vdc_100023625596.0x000006,Subject - astrology.. It is written in 2 long pages in Nepali modern paper. Its author is Sri Pati Bhatta. It belongs to Hinduism. Its language is Sanskrit  written in Devnagari. It was copied in 1857.,,,5,Jyotiṣa Ratnamālā,1914 BS,,,"T1834,T1KG89007",,
040-002851174,032-002851168,EAP676/1/6,1600,1999,san;new,Deva,ark:/81055/vdc_100023625596.0x000007,It is a ritual mantra text written in 2 long pages in Nepali paper. Sanskrit  and Newārī are used in the text. Newārī is generally used in manuscripts to provide explanation to Sanskrit  injuctions or provide instructions.,,,6,Saptavimśatikā Ketrayā Vidhi,,,,,,
040-002851175,032-002851168,EAP676/1/7,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x000008,This is Stotra [Eulogy] of the moon of tenth day of the bright half of the month.It has 3 folios but complete. It is written in Nepali hand made paper. Its language is Sanskrit  and script used is Pracalit Newārī. Its condition is very good.,,,7,Dvāśa Purṇa Candra Stotra,,,,,T67,
040-002851176,032-002851168,EAP676/1/8,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x000009,This is the Stotra of Ganesha.it has 3 folios written in Sanskrit  using Pracalit Newārī script.It is complete and is in very good condition.,,,8,Ārya Gaṇapati nāma Dhāraṇī,,,,T1852,T933,
040-002851177,032-002851168,EAP676/1/9,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x00000a,This Dhāraṇī Mantra text is written in Sanskrit  with Pracalit Newārī and Rañjanā scripts mixed. It is a paper manuscript. It has 4 folios of 8.5 x 6.5 cm in size. It has complete contents.,8.5,6.5,9,Mahāṣḍākṣarī Mahāvidyā Dhāraṇī,,,,,T933,
040-002851294,032-002851293,EAP676/10/1,1943,1943,new,Deva,ark:/81055/vdc_100023625596.0x00007f,"Svayambhū Purāṇa is a fifteenth century text. This manuscript discusses about Svayambhū Stūpa. This Purāṇa is lively in Newār culture. It mainly focuses on origin of Kathmandu valley, twelve pilgrimages, eight holy sites and arrival of Mañjuśrī Bodhisattva. It is written in Newārī language with Pracalit Newārī script. It was copied in Nepal Samvat 1063 in Lalitpur. It is in a very good condition. Writing is very fine. It also carries twelve miniatures of various Svayambhū Stūpa and Bodhisattvas.",,,1,Svayambhū Purāṇa,NS 1063,,,T2KG207410,,2
040-002851303,032-002851293,EAP676/10/10,1600,1999,san;new,Deva,ark:/81055/vdc_100023625596.0x000088,This Pujā Saphū the book of worship is in mixed language - Sanskrit  and Newarī. It is in very good condition.,,,10,Pujā Saphū,,,,,,
040-002851295,032-002851293,EAP676/10/2,1600,1999,new,Deva,ark:/81055/vdc_100023625596.0x000080,This is the fragment of Svayambhū Purāṇa.It has two folios in Newārī. Its script iss Devanāgarī. Its size is 32 x 12 cm.,32,12,2,Svayambhū Purāṇa,,x,,T2KG207410,,2
040-002851296,032-002851293,EAP676/10/3,1600,1999,san,Deva,ark:/81055/vdc_100023625596.0x000081,This manuscript is the Dhāraṇī Mantra of Gaṇeś. It is a Sanskrit fragment written with Pracalit Newārī script. It is nicely written text. This Dhāraṇī is very important for devotees.,,,3,Ganapati Dhāraṇī,,x,,T1852,T933,
040-002851297,032-002851293,EAP676/10/4,1941,1941,new,Deva,ark:/81055/vdc_100023625596.0x000082,This manuscript is a story of Suryodaya Rājā.It is in Newārī language written with devnāgarī script. Manuscript is in a good condition.,,,4,Vasundharā Kalpāvadāna Suryodaya Rājā Uddāra Kathā,NS 1061,,,,,
040-002851298,032-002851293,EAP676/10/5,1600,1999,san,Deva,ark:/81055/vdc_100023625596.0x000083,This manuscript is Mahāpratyaṅgīra Dhāraṇī. It is a Tantric text. No date is mentioned in the text but It looks quite old. It is a Sanskrit  text in Pracalit script.,,,5,Sarvatathāgatoṣṇīśa Sitātapatrānāmāparjitā Mahāpratyaṅgīrā Mahāvidyārājñī,,,,T1KG89007,,
040-002851299,032-002851293,EAP676/10/6,1600,1999,san,Deva,ark:/81055/vdc_100023625596.0x000084,This is a Dhāraṇī text related to ''Dhvaja'' flag. It has four folios which is complete. This is an old Sanskrit  manuscript written in Pracalit Newārī.,,,6,Ārya Dhvajāgrakeyurī nāma Dhāraṇī,,,K606?,,T933,
040-002851300,032-002851293,EAP676/10/7,1600,1999,san,Deva,ark:/81055/vdc_100023625596.0x000085,"This is the collection of seven Dhāraṇīs for each day of the week to recite. These are Aṣṭottara Sataṁ, Vajra Vidariṇī Hṛdaya mantra, Gaṇapati Hṛdaya, Uṣṇīṣa Vijaya, Parṇa Sabarī, Maricināma Dhāraṇī, Grahamatrika. It was cpied by a Vajrācārya of hiraṇya Varṇa Mahāvihāra.",,,7,Saptavāra Dhāraṇī,,,K610?,,T933,
040-002851301,032-002851293,EAP676/10/8,1600,1999,san,Deva,ark:/81055/vdc_100023625596.0x000086,"It is a Mantra text to recite in the name of five transcendental Buddhas. This manuscript is nicely written but here it is only one folio, remaining folios are missing. It is in Sanskrit  wrtten in Devanāgarī.",,,8,Śrī Pañca Buddha Jāpa Mantra,,,,,,
040-002851302,032-002851293,EAP676/10/9,1600,1999,san,Deva,ark:/81055/vdc_100023625596.0x000087,"It is a tantric text related to worship of Cakrasaṃvara. This Mantra is recited during his worship. This manuscript is in Sanskrit. Folio s written with Devanāgarī script. Its condition is good. However, there is only one folio others folios are missing.",,,9,Śrī Cakrasaṃvara Pujā Nyasa Mantra,,,,T423,,
040-002851305,032-002851304,EAP676/11/1,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x00008a,This is the stotra of the Full Moon. It is partly damaged. It is recited to venerate the moon. This manuscript is in Sanskrit and its script is pracalit Newārī.,,,1,Dvādaśa Purṇa Candra Stotra,,,,,T67,
040-002851306,032-002851304,EAP676/11/2,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x00008b,There are various mixed fragments in this collection. Styles of writing and papers folios are different. Size also varies to each other.,,,2,Unknown Misc Fragments@en,,x,,,,
040-002851307,032-002851304,EAP676/11/3,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x00008c,This is one folio manuscript which is the mantra of Gaṇapati. Very beautiful Gaṇeś image is depicted in the folio. It is white coloured Gaṇeś. This miniature is the beauty of this manuscript. Its text is in Sanskrit  written in Pracalt Newārī script.,,,3,Gaṇapati Hṛdaya Dhāraṇī,,,K659?,T1852,T933,
040-002851309,032-002851308,EAP676/12/1,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x00008e,Lalitvistara Sūtra is the birth story of the Buddha. This manuscript is in very good condition and nicely written. It is the complete text of the Sūtra. This Sutra is in Sanskrit  written in Pracalit Newārī script. The folio size is 40 x 12 cm.,40,12,1,Lalitvistara Sūtra,NS 933,,K95,,,
040-002851318,032-002851308,EAP676/12/10,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x000097,"This is the manuscript of Grahamātrikā. But this manuscript is fragmentory. It is in Sanskrit  written with Pracalit Newari script. Out of more than forty folios, it has only six folios extant. Size of folios is 20 x 7.5 cm.",20,7.5,10,Grahamātrikā,,x,K654 & K655,,,
040-002851319,032-002851308,EAP676/12/11,1600,1999,san,Deva,ark:/81055/vdc_100023625596.0x000098,"This is a collection of some Stotras attributed to various deities. Mainly Stotras are for peace and well being attributed to some wrathful deities. In addition, two Stotras are addressed to Gaṇeśa and the Buddha.It is in Sanskrit  written in Devanāgarī. This manuscript is 24 x 8 in size. Some folios are partly damaged.",24,8,11,"Stotraṃ [Aṅgāraka Stotra, Buddha Stotraṃ, Śukra Śānti, Śaniscara Stava Stotrarāja, Ketu Stotra, Saṅkatā Dīvyastotra]",,,,,T67,
040-002851320,032-002851308,EAP676/12/12,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x000099,"It is about the holy pilgrimages. This is an important Buddhist text of Newār people. But several of the folios have been missing, thus it is now fragmentory. It is written in Pracalit Newāri. Its language is Sanskrit .",,,12,Tīrtha Mahātmya,,x,,,,
040-002851321,032-002851308,EAP676/12/13,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x00009a,"This manuscript is a text if Dhāraṇī Mantra. A larger portion of the text has been missing. Three Dhāraṇīs - Devendra Dhāraṇī, Ārya Sarva Maṅgala Dhāraṇī, Vajrakāyā Dhāraṇī  are extant in the manuscript fragments. The missing folios must have very important Buddhist Dhāraṇīs. Condition of extant folios is very good.",,,13,"Dhāraṇīs [Devendra Dhāraṇī, Ārya Sarva Maṅgala Dhāraṇī, Vajrakāyā Dhāraṇī]",,x,,,T933,
040-002851322,032-002851308,EAP676/12/14,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x00009b,"This manuscript deals with Caitya and its veneration. This  the fragments of the text. Only folios 2, 7 and 13 are extant. This text is in Sanskrit  written in Pracalit Newārī. Folios are partly damaged",,,14,Caitya Bhaṭṭāraka,,x,,,,
040-002851323,032-002851308,EAP676/12/15,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x00009c,This fragments of Prajñāpāramitā manuscripts has two folios. This text is very important in mahāyāna Buddhism which extensively deals with 'śūnyatā' [Voidness]. These folios are the part of Aṣṭasāhasrikā Prajñāpāramita. Here are folios nos 182 and 281. Remaining folios are unnoticed. It is in Sanskrit  written in Pracalit Newārī. Its sizeis 38 x 11 cm.,38,11,15,Aṣṭasāhasrikā Prajñāpāramitā Sūtra,,x,K12,,,
040-002851324,032-002851308,EAP676/12/16,1600,1999,san,Deva,ark:/81055/vdc_100023625596.0x00009d,This is astrology text authored by Lakṣmidhara. It decides days and various claendrical moments and times according to Lunar calender. This is in Sanskrit  written in Devanāgarī. Folios are slightly damaged in the one side of the border. Texts is written nicely.,,,16,Tithi Nirṇaya,,,,T1834,,
040-002851325,032-002851308,EAP676/12/17,1600,1999,san,Deva,ark:/81055/vdc_100023625596.0x00009e,"This book is bound book type manuscript of Stotras. It has three Stotra Ārya Tārā Sragdharā Stotra, Graha Stotra and Aṣṭamaṅgalāṣṭaka Stotra.All the Stotras are in Sanskrit  written in Devanāgarī. It is in very good condition. The size of this manuscript is 21.5 x 14 cm.",21.5,14,17,"Ārya Tārā Sragdharā Stotraṃ [Graha Stotra, Aṣṭamaṅgalāṣṭaka Stotra]",,,,T619,,
040-002851310,032-002851308,EAP676/12/2,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x00008f,This Sūtra is called the 'Lotus Sūtra'. This is a popular Buddhist Sūtra. Here is a complete manuscript of the Sūtra. Its text is in Sanskrit  and script is Pracalit Newārī. Folios size is 36 x 10 cm.,36,10,2,Saddharmapuṇḍarika Sūtra,,,K113,,,
040-002851311,032-002851308,EAP676/12/3,1795,1795,san,Newa,ark:/81055/vdc_100023625596.0x000090,This Sūtra - 'Gaṇḍavyūha Sūtra mentions about the Compassionate Bodhisattva Avalokiteśvara. It is another popular Sūtra in Mahāyāna Buddhism. This manuscript is a Sanskrit  Mahāyāna manuscript.Its script is 'Pracalit Newārī'. One side of the folios issmeared with poisonus yellow substance. The entire folios are perfectly fine. The folios are of the size of 44.5 x 10.5 cm.,44.5,10.5,3,Gaṇḍavyūha Sūtra,915 NS,,K110,T106,,
040-002851312,032-002851308,EAP676/12/4,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x000091,This manuscript is the Daśabhūmika Sūtra. This is a Sanskrit text written in Pracalit Newārī. This has been maintained very satisfactorily. It is written on paper. Alternate name: Daśabhūmika Sūtra,,,4,Daśabhūmīśvara nāma Mahāyāna Sūtra [Daśabhūmika Sūtra],,,K857,,,
040-002851313,032-002851308,EAP676/12/5,1730,1730,san,Newa,ark:/81055/vdc_100023625596.0x000092,This manuscript is in Sanskrit written in Pracalit Newārī script. It has very fine writing. Both sides of the folios are smeared with yellow coloured poisonus substance. Size of folios is 37.5 x 10.5 cm. This Sūtra has been included in the nine Vaipūlya Sūtras by the Newār Buddhists. Alternate name: Candrapradīpa Sūtra.,,,5,Samādhīrāja Sūtra [Candrapradīpa Sūtra],NS 850,,K127,,,
040-002851314,032-002851308,EAP676/12/6,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x000093,This Sūtra deals with mind and mental aspects which is an important text of Yogācāra Buddhism. Its folios are nicely written. Its language is sanscrit and script is Pracalit Newārī. It is in the very good condition. Its size id 44 x 12 cm.,44,12,6,Laṅkāvatāra Sūtra,,,K107,,,
040-002851315,032-002851308,EAP676/12/7,1800,1800,new,Newa,ark:/81055/vdc_100023625596.0x000094,This manuscript of yāmbū Purāṇa mainly deals with Svayambhū Utpatti Kathā (Story of the Origin of Svayambhū). In total ten folios are missing. It is nicely written. It has two wooden covers. The first cover has beautiful paintings of patterns and designs.,,,7,Svayambhū Purāṇa,NS 920,,,T2KG207410,,2
040-002851316,032-002851308,EAP676/12/8,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x000095,Avadāna Kathā is a text that deals with miscellanous Buddhist stories. Folios are written very clearly in Sanskrit . Script of this manuscript id Pracalit Newārī. This manuscript is incomplete. Some of the folios are missing. Some fourteen folios have been missing.,,,8,Avadāna Kathā [Dvāviṃśati],,,,,,
040-002851317,032-002851308,EAP676/12/9,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x000096,Somebody named Daibajña Dharaṇidhara copied this manuscript. This is the book of generosity (Dāna). It has nice and clean writing text is in Sanskrit  language. Its script is Pracalit Newārī.,,,9,Dāna Ratnākara,,,,,,
040-002851327,032-002851326,EAP676/13/1,1841,1841,san,Newa,ark:/81055/vdc_100023625596.0x0000a0,"This is the protective Sūtra manuscript. It is the combination of five Sutra. Thus, it is called 'Fivefold protection'. It is nicely written. Four folios in the entire text have been missing. It is the Sanskrit  Sūtra written in Pracalit Newāri script. The size is 34 x 9.5 cm.",34,9.5,1,Pañcarakṣā Sūtra,NS 961,,T1946,,T933,1
040-002851329,032-002851328,EAP676/14/1,1600,1999,zxx,Zxxx,ark:/81055/vdc_100023625596.0x0000a2,"These are the wooden the manuscript covers. Its size is always fixsed according to the size of the folios in a manuscript. These covers are from different manuscripts. However, in this case these are without manuscripts. Very nice historical paintings are on these covers. Here are the images of the Buddhas and some tantric deities. Two cover's carved with patterns.",,,1,Wooden Covers,,,,,T00KG03985,
040-002851338,032-002851328,EAP676/14/10,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x0000ab,This is the manuscript of Aparimtāyu dhāraṇī. Its language is Sanskrit  and script used is Pracalit Newārī. Folios are partly damaged. Its size is 19 x 7 cm in size.,19,7,10,Aparimitāyu nāma Dhāraṇī,,,,,T933,
040-002851339,032-002851328,EAP676/14/11,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x0000ac,"This manuscript has old look. It is the Dhāraṇī of Grahamātrikā. Its language is Sanskrit  and script is Pracalit Newārī. Part of the folios have been lost. Thus, it is an incomplete manuscript.",,,11,Grahamātrikā Dhāraṇī,,,,,T933,
040-002851340,032-002851328,EAP676/14/12,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x0000ad,"It is the Dhāraṇī of Pratyaṅgīrā called Mahāvidyārajnī. Its language Sanskrit  written with Pracalit Newāī script. Its look is old, however, folios are partly damaged. Its size is 19 x 6.5.",19,6.5,12,Ārya Sarvatathāgatoṣṇiṣ Sitātapatrānāmaparājitā Mahāpratyaṅgirā nāma Dhāraṇī Mahavidyārajñī,,,,T1KG89007,T933,
040-002851341,032-002851328,EAP676/14/13,1826,1826,san,Newa,ark:/81055/vdc_100023625596.0x0000ae,This the Sūtra of 'Five protective deities. It is a very common text in the Newār Buddhist society. Its size is 35 x 9 cm. Nine folios have been missing  It was copied in NS tenth century. Folios are partly damaged to some extent.,35,9,13,Pañcarakṣā Sūtra,NS 946,,T1946,,T933,1
040-002851342,032-002851328,EAP676/14/14,1683,1683,san,Newa,ark:/81055/vdc_100023625596.0x0000af,This is the Sūtra of Mahāyāna Buddhism. Its language is Sanskrit. It looks nice and is in very good condition. It was written in the ninth century of Nepal Samvat. It is nice looking. Its size is 38 x 8 cm.,38,8,14,Lalitavistara nāma Mahāyāna Sūtra,NS 803,,K95,,,
040-002851343,032-002851328,EAP676/14/15,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x0000b0,This is a Sūtra manuscript written in Pracalit Newārī script. It is fairly written medieval book. It is written in Pracalit Newārī script. It was written in the tenth century Nepal Samvat. Folios are partly damaged.,,,15,Kāraṇḍavyūha Sūtra,NS 908,,K116,,,
040-002851344,032-002851328,EAP676/14/16,1797,1797,san,Newa,ark:/81055/vdc_100023625596.0x0000b1,"The subject of this manuscript is 'Vasundhara Vrata or Aṣṭamī Vrata. Although it looks good, folios are partly damaged. It is a ritual text. Its date is tenth century, Nepal Samvat. Folios size is 31.5 x 7.5 cm.",31.5,7.5,16,Vasundharādevī Vrata,NS 917,,,,,
040-002851345,032-002851328,EAP676/14/17,1600,1999,new,Newa,ark:/81055/vdc_100023625596.0x0000b2,This book is in Newārī language. The Newārī title is Vasundhara Devī yā bakhaṁ (The Story of Vasundharā Devī. The first folio is missing. This manuscript is in Newārī language. Its size is 23.5 x 7.5 cm.,23.5,7.5,17,Vasundharā Devī yā Bākhaṃ,,,,,,
040-002851346,032-002851328,EAP676/14/18,1814,1814,san,Newa,ark:/81055/vdc_100023625596.0x0000b3,This protective Sūtra was written in the tenth century of Nepal Samvat. It is in the Pracalit Newārī script. It is a Sanskrit  Sūtra. It looks old and partly damaged. It has complete folios.,,,18,Pañcarakṣā Sūtra,NS 934,,T1946,,T933,1
040-002851347,032-002851328,EAP676/14/19,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x0000b4,"It is a Tantric Pujā Vidhi of Cakrasamvara. It is in Sanskrit  language and Pracalit Newārī script. It is a frequently used by the Vajrācārya priests to perform Cakrasaṁvara Pujā. So, it looks old. It does not mention date of writing. Its size is 26 x 7 cm.",26,7,19,Cakrasamvara Pujā Vidhi,,,,T423,,
040-002851330,032-002851328,EAP676/14/2,1600,1999,san;new,Deva,ark:/81055/vdc_100023625596.0x0000a3,This  manuscript deals with polity. It is written in Sanskrit  with explanations in Newārī. Its script is Devanāgarī. It is very nice looking and fairly written manuscript.It is incomplete text as two preliminary folios have been lost.,,,2,Cāṇakya Sāra Saṃgraha,,,,,,
040-002851348,032-002851328,EAP676/14/20,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x0000b5,This is 'Paramārtha Nāmasaṁgīti' manuscript. It is a Tantra text. Its language is Sanskrit  and written in Pracalit Newārī. It is in the very good conditīon. This is a very common text among the Buddhists in Nepal.,,,20,Paramārtha Nāmasaṅgīti,,,K360,,,
