0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
MS-OR-00157-00002,Three palm-leaf folios of the Saṃskṛtāsaṃskṛtaviniścaya.,Three palm-leaf folios of the Saṃskṛtāsaṃskṛtaviniścaya.,Saṃskṛtāsaṃskṛtaviniścaya,T3242,,,,https://cudl.lib.cam.ac.uk/iiif/MS-OR-00157-00002,palm_leaf,,,1000132,Nepal.,nepālākṣarā,san,,,,
MS-ADD-01680-00003-00001,"A palm-leaf fragment from the Divyāvadāna, ""Glorious Deeds"", a collection of Buddhist tales very popular in Medieval and Early Modern Nepal. In the final stage of its redaction, this anonymous compilation consisted of 38 avadānas. It has been edited by E.B. Cowell and R.A. Neil in 1884, mainly on the basis of modern Nepalese paper manuscripts (they give a collation of the variants in the present manuscript in Appendix B, see Cowell and Neil 1884: 660-663). However, many scholars have stressed the heterogeneous character of the stories included in the Divyāvadāna: for instance, 21 stories have a more or less literal parallel in the Mūlasarvāstivādavinaya (see Panglung 1981: XV), while the 38th tale in Cowell and Neil's edition, the Maitrakanyakāvadāna, is now attributed to Gopadatta (see Hahn: 1992, passim and Klaus 1983: 5 ff.). The 11 folios of this manuscript contains the last part of the Pūrṇāvadāna (corresponding to the second story in Cowell's and Neil's edition, from p. 42, line 9 to p. 54, line 17)."," A palm-leaf fragment from the Divyāvadāna, ""Glorious Deeds"", a collection of Buddhist tales very popular in Medieval and",Divyāvadāna,,,Divyāvadāna,Divyāvadānamālā,https://cudl.lib.cam.ac.uk/iiif/MS-ADD-01680-00003-00001,corypha_palm_leaf,,,1000132,Nepal.,nepālākṣarā,san,5,32,"2,5","2,5"
MS-ADD-01680-00002-00004,"The Avadānaśataka is an ancient collection of Buddhist legends, its first redaction dating to the first centuries of the CE. It was translated into Chinese and Tibetan during the first millennium CE, gaining large popularity across Asia. This Nepalese incomplete palm-leaf manuscript consists of one single folio (numbered 2) containing part of the Guḍaśālāvadāna, the forty-first story in the collection. This folio is part of a bundle of nine folios possibly from four different manuscripts, containing parts of five stories from the Avadānaśataka. They were used by Speyer for his edition of the Avadānaśataka and were given the siglum F. A complete diplomatic transcription of this fragment is provided in the section ""View more options."""," The Avadānaśataka is an ancient collection of Buddhist legends, its first redaction dating to the first centuries of the",Avadānaśataka,,,Avadānaśataka,Śatakāvadāna,https://cudl.lib.cam.ac.uk/iiif/MS-ADD-01680-00002-00004,corypha_palm_leaf,1301,1500,1000132,Nepal.,nepālākṣarā,san,5,32,,
MS-ADD-01267,A palm-leaf manuscript of the Kāraṇḍavyūha.,A palm-leaf manuscript of the Kāraṇḍavyūha.,Kāraṇḍavyūha,,,Kāraṇḍavyūha,"Kāraṇḍavyūhamahāyānasūtraratnarāja,Āryakāraṇḍavyūhamahāyānasūtraratnarāja",https://cudl.lib.cam.ac.uk/iiif/MS-ADD-01267,palm_leaf,1301,1500,1000132,Nepal.,nepālākṣarā,san,5,31,,
MS-ADD-01611,"The Avadānaśataka is an ancient collection of Buddhist legends, its first redaction dating to the first centuries of the CE. It was translated into Chinese and Tibetan during the first millennium CE, gaining large popularity across Asia. This Nepalese manuscript, dated 1645 CE, is the one on which J. Speyer based his editio princeps of 1902. Older fragmentary palm leaf manuscripts have survived, but this is the oldest complete source for the reconstruction of the text."," The Avadānaśataka is an ancient collection of Buddhist legends, its first redaction dating to the first centuries of the",Avadānaśataka,,,Avadānaśataka,Śatakāvadāna,https://cudl.lib.cam.ac.uk/iiif/MS-ADD-01611,paper,,,1000132,Nepal.,,san,,,,
MS-ADD-01534,A paper manuscript of the Meghasūtra.,A paper manuscript of the Meghasūtra.,Meghasūtra,,,,,https://cudl.lib.cam.ac.uk/iiif/MS-ADD-01534,paper,,,1000132,Nepal.,nepālākṣarā,san,"7,5",22,,
MS-ADD-02196-00002,A palm-leaf manuscript of a Dhāraṇi.,A palm-leaf manuscript of a Dhāraṇi.,Dhāraṇi,,,,,https://cudl.lib.cam.ac.uk/iiif/MS-ADD-02196-00002,palm_leaf,,,,,nepālākṣarā,san,4,55,,
MS-ADD-01680-00014-00002,"A palm-leaf fragment containing an unidentified Buddhist Tantric text. The manuscript contains a list of various mantras, and with short explanations about their visualization, probably taken from different sources (see below in the Explicit)."," A palm-leaf fragment containing an unidentified Buddhist Tantric text. The manuscript contains a list of various mantras,",Buddhist Tantric Fragment@en,,,,,https://cudl.lib.cam.ac.uk/iiif/MS-ADD-01680-00014-00002,corypha_palm_leaf,,,1000132,Nepal.,nepālākṣarā,san,"4,3",28,"1,5","1,7"
MS-ADD-01476-00001,"This beautifully illuminated multi-text manuscript is written on black paper in golden ink. It was completed in 1791 CE in Kathmandu in a vihāra called Hemākra and commisioned by a Vajrācārya named ‏Abhayananda (written Abhayanandra in the colophon). The manuscript contains the follwing Buddhist texts: the Pañcarakṣā (only the dhāraṇī part), the Abhayakarīdhāraṇī (recorded as Abhayakalidhāraṇī in the colophon), the Tārābhaṭṭārikāṣṭottaraśataka and the Mahākālamantradhāna (strangely added after the colophon). The Pañcarakṣā ""Five Protections"" consists of the Mahāpratisarā, Mahāmāyūrī, Mahāsāhasrapramardanī, Mahāmantrānusāriṇī, and Mahāśītavatī. The earliest evidence for texts grouped together as the ""Five Great Dhāraṇīs"" comes from Tibetan catalogues around 800 CE, but this compendium is somewhat different from the surviving Sanskrit collection, which is preserved in manuscripts dating back to the eleventh century. These scriptures include spells, enumerations of benefits and ritual instructions for use. With the course of time all of them became deified and five related goddesses emerged. It is, however, important to note that the texts themselves do not have any references to these goddesses. The other texts are little known and yet unpublished.",This beautifully illuminated multi-text manuscript is written on black paper in golden ink. It was completed in 1791 CE,"Pañcarakṣā, Abhayakarīdhāraṇī, Tārābhaṭṭārikāṣṭottaraśataka, Mahākālamantradhāna",,,,,https://cudl.lib.cam.ac.uk/iiif/MS-ADD-01476-00001,nep_multi_layered_paper,,,1083294,Kathmandu (Suvarṇapanāri; see Locke 1985: 497 fn 4).,nepālākṣarā,,8,"23,3","5,5","20,7"
MS-ADD-01536,A paper manuscript of the Laghusvayambhūpurāṇa.,A paper manuscript of the Laghusvayambhūpurāṇa.,Laghusvayambhūpurāṇa,,,,,https://cudl.lib.cam.ac.uk/iiif/MS-ADD-01536,paper,,,1000132,Nepal.,nepālākṣarā,san,8,23,,
MS-ADD-01544,A palm-leaf manuscript of the Aṣṭasāhasrikā Prajñāpāramitā.,A palm-leaf manuscript of the Aṣṭasāhasrikā Prajñāpāramitā.,Aṣṭasāhasrikā Prajñāpāramitā,K12,,,,https://cudl.lib.cam.ac.uk/iiif/MS-ADD-01544,palm_leaf,1101,1200,1000132,Nepal.,nepālākṣarā,san,5,51,,
MS-ADD-01646,"This Nepalese palm-leaf manuscript, written during the reign of the king Abhayamalla (1216-1235), contains Kuladatta's (ca. 12th c.) commentary on the Kriyāsaṃgraha, a Buddhist ritual manual. This is one of the manuscripts used by Tanemura in his 2004 critical edition of selected chapters of this work.","This Nepalese palm-leaf manuscript, written during the reign of the king Abhayamalla (1216-1235), contains Kuladatta's (ca.",Kriyāsaṃgrahapañjikā,,,,,https://cudl.lib.cam.ac.uk/iiif/MS-ADD-01646,palm_leaf,1216,1235,1000132,Nepal.,nepālākṣarā,san,"4,5",31,3,27
MS-ADD-01697-00007,"A palm-leaf manuscript of the Cakrasambaradaṇḍakāstuti, Stotra.","A palm-leaf manuscript of the Cakrasambaradaṇḍakāstuti, Stotra.","Cakrasambaradaṇḍakāstuti, Stotra",,,,,https://cudl.lib.cam.ac.uk/iiif/MS-ADD-01697-00007,palm_leaf,,,,,nepālākṣarā,san,5,31,,
MS-OR-00722-00005,"A single palm-leaf folio of un unidentified work. This fragment seems to contain the beginning of a Buddhist text, as the initial invocation reads ""oṃ namo bhagavate ārye prajñe"" in Nepālākṣara, in a rather coarse hand. The recto is blank, except for an almost illegible line in what seems to be Bengali script in a much more refined hand.","A single palm-leaf folio of un unidentified work. This fragment seems to contain the beginning of a Buddhist text, as the",Unidentified Fragment@en,,,,,https://cudl.lib.cam.ac.uk/iiif/MS-OR-00722-00005,palm_leaf,,,,,nepālākṣarā,san,,,,
MS-ADD-01706-00007,A palm-leaf manuscript of a Work on Measurements.,A palm-leaf manuscript of a Work on Measurements.,Work on Measurements@en,,,,,https://cudl.lib.cam.ac.uk/iiif/MS-ADD-01706-00007,palm_leaf,,,,,nepālākṣarā,san,5,20,,
MS-OR-00155,A palm-leaf manuscript of the Chātrakumāradatta's Commentary on the Cakrasaṃvaratantra.,A palm-leaf manuscript of the Chātrakumāradatta's Commentary on the Cakrasaṃvaratantra.,Commentary on the Cakrasaṃvaratantra@en,,T626,,,https://cudl.lib.cam.ac.uk/iiif/MS-OR-00155,palm_leaf,,,1000132,Nepal.,nepālākṣarā,san,,,,
MS-ADD-01660-00002,"An incomplete copy of the Cāndravyākaraṇa by the Buddhist grammarian Candragomin, containing the sūtrapāṭha without any commentary. Previously, it had been wrongly identified as Śabdalakṣaṇa. The manuscript includes the pratyāhārasūtras and part of the first section of the first chapter up to rule 1.1.146, jvalādibhyo ṇo vā, and the beginning of the next rule."," An incomplete copy of the Cāndravyākaraṇa by the Buddhist grammarian Candragomin, containing the sūtrapāṭha without any",Cāndravyākaraṇa,,,,,https://cudl.lib.cam.ac.uk/iiif/MS-ADD-01660-00002,palm_leaf,1400,1499,1000132,Nepal.,nepālākṣarā,san,"4,4",33,"2,8","29,7"
MS-ADD-01679-00004,A palm-leaf manuscript of the Work on the Mātṛs.,A palm-leaf manuscript of the Work on the Mātṛs.,Work on the Mātṛs@en,,,,,https://cudl.lib.cam.ac.uk/iiif/MS-ADD-01679-00004,palm_leaf,,,,,nepālākṣarā,san,5,30,,
MS-ADD-01683,A palm-leaf manuscript of the Saddharmapuṇḍarīka.,A palm-leaf manuscript of the Saddharmapuṇḍarīka.,Saddharmapuṇḍarīka,K113,,,,https://cudl.lib.cam.ac.uk/iiif/MS-ADD-01683,palm_leaf,,,,,nepālākṣarā,san,5,30,,
MS-ADD-01487,A paper manuscript of the Upoṣadavratakathā (Aṣṭamīvratavidhāna).,A paper manuscript of the Upoṣadavratakathā (Aṣṭamīvratavidhāna).,Upoṣadavratakathā,,,Upoṣadavratakathā,Aṣṭamīvratavidhāna,https://cudl.lib.cam.ac.uk/iiif/MS-ADD-01487,paper,,,1000132,Nepal.,nepālākṣarā,san,8,26,,
MS-ADD-01680-00004,A palm-leaf manuscript of the Maṇicuḍāvadāna.,A palm-leaf manuscript of the Maṇicuḍāvadāna.,Maṇicuḍāvadāna,,,,,https://cudl.lib.cam.ac.uk/iiif/MS-ADD-01680-00004,palm_leaf,,,,,nepālākṣarā,san,5,32,,
MS-ADD-01697-00004,"A palm-leaf manuscript of the Balimālikā, Dhāraṇī, Vajrayoginīpranāmaikaviṃśatikādhāraṇī.","A palm-leaf manuscript of the Balimālikā, Dhāraṇī, Vajrayoginīpranāmaikaviṃśatikādhāraṇī.","Balimālikā, Dhāraṇī, Vajrayoginīpranāmaikaviṃśatikādhāraṇī",,,,,https://cudl.lib.cam.ac.uk/iiif/MS-ADD-01697-00004,palm_leaf,,,,,nepālākṣarā,san,5,30,,
MS-OR-00724,A paper manuscript of the Buddhist fragment.,A paper manuscript of the Buddhist fragment.,Buddhist fragment@en,,,,,https://cudl.lib.cam.ac.uk/iiif/MS-OR-00724,palm_leaf,,,,,nepālākṣarā,san,,,,
MS-ADD-01478,A paper manuscript of the Śikṣāsamuccaya.,A paper manuscript of the Śikṣāsamuccaya.,Śikṣāsamuccaya,T3281,,,,https://cudl.lib.cam.ac.uk/iiif/MS-ADD-01478,paper,1301,1500,,,bengali,san,5,34,,
MS-OR-00158-00001,"A palm-leaf manuscript of the Vajrāmṛtatantra, one of the main Yoginītantras, which until now was known only through the Tibetan translation of the lo tsā ba Gyi jo zla ba’i ’od zer (10th-11th cent.) and through the indirect tradition. To date, only few verses of this tantra could have been read in the original Sanskrit. Although certainly less influential than other Yoginītantras, such as, in primis, the Hevajratantra, the Vajrāmṛtamahātantra must have enjoyed a certain popularity. For instance, it is referred to as one of the authoritative sources for the practice of the bāhyahoma by Bhūvācārya (early 11th cent. ?), the author of the Saṃvarodayā nāma Maṇḍalopāyikā, in the bāhyādhyātmahomavidhiḥ, the eleventh chapter of his work. In addition, we should point out that this tantra has been commented at least three times. Two of the commentaries are extant in the original Sanskrit but are still unpublished. Originally, Or.158 was formed of palm leaves from two independent manuscripts, both fragmentary, one containing the Vajrāmṛtatantra and one containing the Buddhakapālatantra, another yoginītantra, so far published only in part (Luo 2010). Since the ductus, the quality and the shape of the leaves comprising these two works is the same (each leaf contains six lines, one string-hole dividing the writing area into two pseudocolumns, of which the left one is smaller than the right one, and on average 64/65 akṣaras), it is likely that at some point someone got confused and mistakenly put together leaves from these two works according to an apparently correct numerical sequence. The folios of the two works have been now rearranged into two distinct bundles (Or.158.1 and Or.158.2), each containing the extant folios of each work. It is highly plausible that together with these two works, a third one, namely the Vajrāralimahātantrarāja, made originally part of the same collection. The clue for this is given by the short list of titles added by a different hand on the top left side of folio 1r. If this was the case, Or.158 could be considered to be a originally a composite and multi-text manuscript. On the right of the same recto we find some mantras written likely by the same hand (it is possible that the last two lines are instead written by a third hand; see under Additions).","A palm-leaf manuscript of the Vajrāmṛtatantra, one of the main Yoginītantras, which until now was known only through the",Vajrāmṛtatantra,,,Vajrāmṛtatantra,Vajrāmṛtamahātantra,https://cudl.lib.cam.ac.uk/iiif/MS-OR-00158-00001,corypha_palm_leaf,,,1000132,Nepal.,,san,5,31,,"1,8"
MS-OR-00717,A partial palm-leaf manuscript of an unidentified Buddhist stotra.,A partial palm-leaf manuscript of an unidentified Buddhist stotra.,Buddhist stotra@en,,,,,https://cudl.lib.cam.ac.uk/iiif/MS-OR-00717,palm_leaf,,,1000132,Nepal.,nepālākṣarā,san,,,,
MS-ADD-01108,A palm-leaf manuscript of the Nāmasaṅgītiṭippanī (Amṛtakaṇikā).,A palm-leaf manuscript of the Nāmasaṅgītiṭippanī (Amṛtakaṇikā).,Nāmasaṅgītiṭippanī,,W22003,Nāmasaṅgītiṭippanī,Amṛtakaṇikā,https://cudl.lib.cam.ac.uk/iiif/MS-ADD-01108,palm_leaf,,,1000132,Nepal.,nepālākṣarā,san,5,33,,
MS-ADD-01644,"The Pañcarakṣā corpus (""Five Protections"") consists of the Mahāpratisarā, Mahāmāyūrī, Mahāsāhasrapramardanī, Mahāmantrānusāriṇī, and Mahāśītavatī. The earliest evidence for texts grouped together as the ""Five Great Dhāraṇīs"" comes from Tibetan catalogues around 800 CE, but this compendium is somewhat different from the surviving Sanskrit collection, which is preserved in manuscripts dating back to the eleventh century. These scriptures include spells, enumerations of benefits and ritual instructions for use. With the course of time all of them became deified and five related goddesses emerged. It is, however, important to note that the texts themselves do not have any references to these goddesses. This ancient palm-leaf manuscript is dated to 1205 CE, and was thus written during the reign of king Arimalla (1200-1216). The last folio, a later supply in paper, seems to accurately repeat the content of the last folio of the palm leaf manuscript, which is now extremely damaged (and was probably already damaged at the time of the production of the supply). Therefore, with the help of the transcription in the last folio, it is possible to reconstruct the original date, even if it is badly damaged in the original colophon (as Bendall puts it, ""[t]he date is especially remarkable, as it seems a clear instance of a copied date""; 1883: 153). Moreover, on the verso of the last palm-leaf folio, ""are the remains of a postscript in a finer and later hand, in Newari, with half-obliterated, but still certain, date, N.S. 579 (A.D. 1459)."" (Bendall 1883: 153). Both covers are original and finely decorated with representations of the Buddhas and the goddesses of protection."," The Pañcarakṣā corpus (""Five Protections"") consists of the Mahāpratisarā, Mahāmāyūrī, Mahāsāhasrapramardanī, Mahāmantrānusāriṇī,",Pañcarakṣā,T1946,,,,https://cudl.lib.cam.ac.uk/iiif/MS-ADD-01644,mixed,,,1000132,Nepāl.,,san,"5,5",55,,
MS-ADD-02198,"The Vasudhāradhāraṇī, dedicated to Vasudhārā, the bodhisattva of wealth, prosperity, and abundance (who has a strong following among the Newar Buddhists of the Kathmandu valley), is taught by the Buddha in Kauśāmbī to the rich merchant and layman Sucandra. He has been reduced to poverty and so requests a sermon from the Lord so that he may provide for his own family and so that all beings may become prosperous. This scripture includes a dhāraṇī along with enumerations of benefits and ritual instructions for use. This palm-leaf manuscript is probably to be dated to the 13-14th century CE. Its original wood cover are beautifully illuminated, although the illustartions are somewhat damaged."," The Vasudhāradhāraṇī, dedicated to Vasudhārā, the bodhisattva of wealth, prosperity, and abundance (who has a strong following",Vasudhārādhāraṇī,,,Vasudhārādhāraṇī,"Vasudhāraṇī,Vasudhārādhāraṇīsūtra",https://cudl.lib.cam.ac.uk/iiif/MS-ADD-02198,palm_leaf,1201,1400,1000132,Nepāl.,nepālākṣarā,san,"5,5","30,5","3,5",27
